order_id,rzp_payment_id,platform,gross_amount,gateway_fee,gst_on_fee,net_settled,settlement_utr,settlement_date,status
BNN_1001,pay_BNN_1001,Zomato,1000.0,20.0,3.6,976.4,UTR_BNN_1001,2026-03-03,SETTLED
BNN_1002,pay_BNN_1002,BigBasket,1950.0,39.0,7.02,1903.98,UTR_BNN_1002,2026-03-04,SETTLED
BNN_1003,pay_BNN_1003,Blinkit,3600.0,72.0,12.96,3515.04,UTR_BNN_1003,2026-03-05,SETTLED
BNN_1004,pay_BNN_1004,Flipkart,5500.0,110.0,19.8,5370.2,UTR_BNN_1004,2026-03-06,SETTLED
BNN_1005,pay_BNN_1005,Zomato,5100.0,102.0,18.36,4979.64,UTR_BNN_1005,2026-03-07,SETTLED
BNN_1006,pay_BNN_1006,BigBasket,4500.0,90.0,16.2,4393.8,UTR_BNN_1006,2026-03-08,SETTLED
BNN_1007,pay_BNN_1007,Blinkit,6000.0,120.0,21.6,5858.4,UTR_BNN_1007,2026-03-09,SETTLED
BNN_1008,pay_BNN_1008,Flipkart,9500.0,190.0,34.2,9275.8,UTR_BNN_1008,2026-03-10,SETTLED
BNN_1009,pay_BNN_1009,Zomato,1750.0,35.0,6.3,1708.7,UTR_BNN_1009,2026-03-11,SETTLED
BNN_1010,pay_BNN_1010,BigBasket,2925.0,58.5,10.53,2855.97,UTR_BNN_1010,2026-03-12,SETTLED
BNN_1011,pay_BNN_1011,Blinkit,4950.0,99.0,17.82,4833.18,UTR_BNN_1011,2026-03-13,SETTLED
BNN_1012,pay_BNN_1012,Flipkart,7150.0,143.0,25.74,6981.26,UTR_BNN_1012,2026-03-14,SETTLED
BNN_1013,pay_BNN_1013,Zomato,5950.0,119.0,21.42,5809.58,UTR_BNN_1013,2026-03-15,SETTLED
BNN_1014,pay_BNN_1014,BigBasket,5100.0,102.0,18.36,4979.64,UTR_BNN_1014,2026-03-16,SETTLED
BNN_1015,pay_BNN_1015,Blinkit,1500.0,30.0,5.4,1464.6,UTR_BNN_1015,2026-03-17,SETTLED
BNN_1016,pay_BNN_1016,Flipkart,2850.0,57.0,10.26,2782.74,UTR_BNN_1016,2026-03-18,SETTLED
BNN_1017,pay_BNN_1017,Zomato,2000.0,40.0,7.2,1952.8,UTR_BNN_1017,2026-03-19,SETTLED
BNN_1018,pay_BNN_1018,BigBasket,3250.0,65.0,11.7,3173.3,UTR_BNN_1018,2026-03-20,SETTLED
BNN_1019,pay_BNN_1019,Blinkit,5400.0,108.0,19.44,5272.56,UTR_BNN_1019,2026-03-21,SETTLED
BNN_1020,pay_BNN_1020,Flipkart,8250.0,165.0,29.7,8055.3,UTR_BNN_1020,2026-03-02,SETTLED
BNN_1021,pay_BNN_1021,Zomato,6800.0,136.0,24.48,6639.52,UTR_BNN_1021,2026-03-03,SETTLED
BNN_1022,pay_BNN_1022,BigBasket,6000.0,120.0,21.6,5858.4,UTR_BNN_1022,2026-03-04,SETTLED
BNN_1023,pay_BNN_1023,Blinkit,2625.0,52.5,9.45,2563.05,UTR_BNN_1023,2026-03-05,SETTLED
BNN_1024,pay_BNN_1024,Flipkart,4275.0,85.5,15.39,4174.11,UTR_BNN_1024,2026-03-06,SETTLED
BNN_1025,pay_BNN_1025,Zomato,2750.0,55.0,9.9,2685.1,UTR_BNN_1025,2026-03-07,SETTLED
BNN_1026,pay_BNN_1026,BigBasket,4225.0,84.5,15.21,4125.29,UTR_BNN_1026,2026-03-08,SETTLED
BNN_1027,pay_BNN_1027,Blinkit,6300.0,126.0,22.68,6151.32,UTR_BNN_1027,2026-03-09,SETTLED
BNN_1028,pay_BNN_1028,Flipkart,9350.0,187.0,33.66,9129.34,UTR_BNN_1028,2026-03-10,SETTLED
BNN_1029,pay_BNN_1029,Zomato,1700.0,34.0,6.12,1659.88,UTR_BNN_1029,2026-03-11,SETTLED
BNN_1030,pay_BNN_1030,BigBasket,1800.0,36.0,6.48,1757.52,UTR_BNN_1030,2026-03-12,SETTLED
BNN_1031,pay_BNN_1031,Blinkit,3000.0,60.0,10.8,2929.2,UTR_BNN_1031,2026-03-13,SETTLED
BNN_1032,pay_BNN_1032,Flipkart,4750.0,95.0,17.1,4637.9,UTR_BNN_1032,2026-03-14,SETTLED
BNN_1033,pay_BNN_1033,Zomato,3000.0,60.0,10.8,2929.2,UTR_BNN_1033,2026-03-15,SETTLED
BNN_1034,pay_BNN_1034,BigBasket,4875.0,97.5,17.55,4759.95,UTR_BNN_1034,2026-03-16,SETTLED
BNN_1035,pay_BNN_1035,Blinkit,7200.0,144.0,25.92,7030.08,UTR_BNN_1035,2026-03-17,SETTLED
BNN_1036,pay_BNN_1036,Flipkart,11000.0,220.0,39.6,10740.4,UTR_BNN_1036,2026-03-18,SETTLED
BNN_1037,pay_BNN_1037,Zomato,2975.0,59.5,10.71,2904.79,UTR_BNN_1037,2026-03-19,SETTLED
BNN_1038,pay_BNN_1038,BigBasket,2700.0,54.0,9.72,2636.28,UTR_BNN_1038,2026-03-20,SETTLED
BNN_1039,pay_BNN_1039,Blinkit,4125.0,82.5,14.85,4027.65,UTR_BNN_1039,2026-03-21,SETTLED
BNN_1040,pay_BNN_1040,Flipkart,6175.0,123.5,22.23,6029.27,UTR_BNN_1040,2026-03-02,SETTLED
BNN_1041,pay_BNN_1041,Zomato,3500.0,70.0,12.6,3417.4,UTR_BNN_1041,2026-03-03,SETTLED
BNN_1042,pay_BNN_1042,BigBasket,5525.0,110.5,19.89,5394.61,UTR_BNN_1042,2026-03-04,SETTLED
BNN_1043,pay_BNN_1043,Blinkit,1800.0,36.0,6.48,1757.52,UTR_BNN_1043,2026-03-05,SETTLED
BNN_1044,pay_BNN_1044,Flipkart,3300.0,66.0,11.88,3222.12,UTR_BNN_1044,2026-03-06,SETTLED
BNN_1045,pay_BNN_1045,Zomato,3400.0,68.0,12.24,3319.76,UTR_BNN_1045,2026-03-07,SETTLED
BNN_1046,pay_BNN_1046,BigBasket,3000.0,60.0,10.8,2929.2,UTR_BNN_1046,2026-03-08,SETTLED
BNN_1047,pay_BNN_1047,Blinkit,4500.0,90.0,16.2,4393.8,UTR_BNN_1047,2026-03-09,SETTLED
BNN_1048,pay_BNN_1048,Flipkart,7125.0,142.5,25.65,6956.85,UTR_BNN_1048,2026-03-10,SETTLED
BNN_1049,pay_BNN_1049,Zomato,4000.0,80.0,14.4,3905.6,UTR_BNN_1049,2026-03-11,SETTLED
BNN_1050,pay_BNN_1050,BigBasket,6500.0,130.0,23.4,6346.6,UTR_BNN_1050,2026-03-12,SETTLED
BNN_1051,pay_BNN_1051,Blinkit,3150.0,63.0,11.34,3075.66,UTR_BNN_1051,2026-03-13,SETTLED
BNN_1052,pay_BNN_1052,Flipkart,4950.0,99.0,17.82,4833.18,UTR_BNN_1052,2026-03-14,SETTLED
BNN_1053,pay_BNN_1053,Zomato,4675.0,93.5,16.83,4564.67,UTR_BNN_1053,2026-03-15,SETTLED
BNN_1054,pay_BNN_1054,BigBasket,3900.0,78.0,14.04,3807.96,UTR_BNN_1054,2026-03-16,SETTLED
BNN_1055,pay_BNN_1055,Blinkit,5250.0,105.0,18.9,5126.1,UTR_BNN_1055,2026-03-17,SETTLED
BNN_1056,pay_BNN_1056,Flipkart,8075.0,161.5,29.07,7884.43,UTR_BNN_1056,2026-03-18,SETTLED
BNN_1057,pay_BNN_1057,Zomato,1000.0,20.0,3.6,976.4,UTR_BNN_1057,2026-03-19,SETTLED
BNN_1058,pay_BNN_1058,BigBasket,1950.0,39.0,7.02,1903.98,UTR_BNN_1058,2026-03-20,SETTLED
BNN_1059,pay_BNN_1059,Blinkit,3600.0,72.0,12.96,3515.04,UTR_BNN_1059,2026-03-21,SETTLED
BNN_1060,pay_BNN_1060,Flipkart,5500.0,110.0,19.8,5370.2,UTR_BNN_1060,2026-03-02,SETTLED
BNN_1061,pay_BNN_1061,Zomato,5100.0,102.0,18.36,4979.64,UTR_BNN_1061,2026-03-03,SETTLED
BNN_1062,pay_BNN_1062,BigBasket,4500.0,90.0,16.2,4393.8,UTR_BNN_1062,2026-03-04,SETTLED
BNN_1063,pay_BNN_1063,Blinkit,6000.0,120.0,21.6,5858.4,UTR_BNN_1063,2026-03-05,SETTLED
BNN_1064,pay_BNN_1064,Flipkart,9500.0,190.0,34.2,9275.8,UTR_BNN_1064,2026-03-06,SETTLED
BNN_1065,pay_BNN_1065,Zomato,1750.0,35.0,6.3,1708.7,UTR_BNN_1065,2026-03-07,SETTLED
BNN_1066,pay_BNN_1066,BigBasket,2925.0,58.5,10.53,2855.97,UTR_BNN_1066,2026-03-08,SETTLED
BNN_1067,pay_BNN_1067,Blinkit,4950.0,99.0,17.82,4833.18,UTR_BNN_1067,2026-03-09,SETTLED
BNN_1068,pay_BNN_1068,Flipkart,7150.0,143.0,25.74,6981.26,UTR_BNN_1068,2026-03-10,SETTLED
BNN_1069,pay_BNN_1069,Zomato,5950.0,119.0,21.42,5809.58,UTR_BNN_1069,2026-03-11,SETTLED
BNN_1070,pay_BNN_1070,BigBasket,5100.0,102.0,18.36,4979.64,UTR_BNN_1070,2026-03-12,SETTLED
BNN_1071,pay_BNN_1071,Blinkit,1500.0,30.0,5.4,1464.6,UTR_BNN_1071,2026-03-13,SETTLED
BNN_1072,pay_BNN_1072,Flipkart,2850.0,57.0,10.26,2782.74,UTR_BNN_1072,2026-03-14,SETTLED
BNN_1073,pay_BNN_1073,Zomato,2000.0,40.0,7.2,1952.8,UTR_BNN_1073,2026-03-15,SETTLED
BNN_1074,pay_BNN_1074,BigBasket,3250.0,65.0,11.7,3173.3,UTR_BNN_1074,2026-03-16,SETTLED
BNN_1075,pay_BNN_1075,Blinkit,5400.0,108.0,19.44,5272.56,UTR_BNN_1075,2026-03-17,SETTLED
BNN_1076,pay_BNN_1076,Flipkart,8250.0,165.0,29.7,8055.3,UTR_BNN_1076,2026-03-18,SETTLED
BNN_1077,pay_BNN_1077,Zomato,6800.0,136.0,24.48,6639.52,UTR_BNN_1077,2026-03-19,SETTLED
BNN_1078,pay_BNN_1078,BigBasket,6000.0,120.0,21.6,5858.4,UTR_BNN_1078,2026-03-20,SETTLED
BNN_1079,pay_BNN_1079,Blinkit,2625.0,52.5,9.45,2563.05,UTR_BNN_1079,2026-03-21,SETTLED
BNN_1080,pay_BNN_1080,Flipkart,4275.0,85.5,15.39,4174.11,UTR_BNN_1080,2026-03-02,SETTLED
BNN_1081,pay_BNN_1081,Zomato,2750.0,55.0,9.9,2685.1,UTR_BNN_1081,2026-03-03,SETTLED
BNN_1082,pay_BNN_1082,BigBasket,4225.0,84.5,15.21,4125.29,UTR_BNN_1082,2026-03-04,SETTLED
BNN_1083,pay_BNN_1083,Blinkit,6300.0,126.0,22.68,6151.32,UTR_BNN_1083,2026-03-05,SETTLED
BNN_1084,pay_BNN_1084,Flipkart,9350.0,187.0,33.66,9129.34,UTR_BNN_1084,2026-03-06,SETTLED
BNN_1085,pay_BNN_1085,Zomato,1700.0,34.0,6.12,1659.88,UTR_BNN_1085,2026-03-07,SETTLED
BNN_1086,pay_BNN_1086,BigBasket,1800.0,0.0,0.0,1800.0,UTR_BNN_1086,2026-03-27,SETTLED
BNN_1087,pay_BNN_1087,Blinkit,3000.0,0.0,0.0,3000.0,UTR_BNN_1087,2026-03-27,SETTLED
BNN_1088,pay_BNN_1088,Flipkart,4750.0,0.0,0.0,4750.0,UTR_BNN_1088,2026-03-27,SETTLED
BNN_1089,pay_BNN_1089,Zomato,3000.0,180.0,32.4,2787.6,UTR_BNN_1089,2026-03-11,SETTLED
BNN_1090,pay_BNN_1090,BigBasket,4875.0,292.5,52.65,4529.85,UTR_BNN_1090,2026-03-11,SETTLED
BNN_1091,pay_BNN_1091,Blinkit,7200.0,432.0,77.76,6690.24,UTR_BNN_1091,2026-03-11,SETTLED
BNN_1092_TYPO,pay_BNN_1092_TYPO,Flipkart,11000.0,220.0,39.6,10740.4,UTR_BNN_1092_TYPO,2026-03-25,SETTLED
BNN_1093_TYPO,pay_BNN_1093_TYPO,Zomato,2975.0,59.5,10.71,2904.79,UTR_BNN_1093_TYPO,2026-03-25,SETTLED
BNN_1094_TYPO,pay_BNN_1094_TYPO,BigBasket,2700.0,54.0,9.72,2636.28,UTR_BNN_1094_TYPO,2026-03-25,SETTLED
BNN_1098,pay_BNN_1098,BigBasket,5525.0,0.0,0.0,0.0,,,PENDING
BNN_1099,pay_BNN_1099,Blinkit,1800.0,0.0,0.0,0.0,,,PENDING
