order_id,platform,product,crates,unit_price,amount,date
BNN_1001,Zomato,Robusta Bananas (Crate),20,50.0,1000.0,2026-03-02
BNN_1002,BigBasket,Cavendish Bananas (Box),30,65.0,1950.0,2026-03-03
BNN_1003,Blinkit,Yellaki Bananas (Crate),40,90.0,3600.0,2026-03-04
BNN_1004,Flipkart,Red Bananas (Box),50,110.0,5500.0,2026-03-05
BNN_1005,Zomato,Nendran Bananas (Crate),60,85.0,5100.0,2026-03-06
BNN_1006,BigBasket,G9 Bananas (Crate),75,60.0,4500.0,2026-03-07
BNN_1007,Blinkit,Poovan Bananas (Box),80,75.0,6000.0,2026-03-08
BNN_1008,Flipkart,Rasthali Bananas (Box),100,95.0,9500.0,2026-03-09
BNN_1009,Zomato,Robusta Bananas (Crate),35,50.0,1750.0,2026-03-10
BNN_1010,BigBasket,Cavendish Bananas (Box),45,65.0,2925.0,2026-03-11
BNN_1011,Blinkit,Yellaki Bananas (Crate),55,90.0,4950.0,2026-03-12
BNN_1012,Flipkart,Red Bananas (Box),65,110.0,7150.0,2026-03-13
BNN_1013,Zomato,Nendran Bananas (Crate),70,85.0,5950.0,2026-03-14
BNN_1014,BigBasket,G9 Bananas (Crate),85,60.0,5100.0,2026-03-15
BNN_1015,Blinkit,Poovan Bananas (Box),20,75.0,1500.0,2026-03-16
BNN_1016,Flipkart,Rasthali Bananas (Box),30,95.0,2850.0,2026-03-17
BNN_1017,Zomato,Robusta Bananas (Crate),40,50.0,2000.0,2026-03-18
BNN_1018,BigBasket,Cavendish Bananas (Box),50,65.0,3250.0,2026-03-19
BNN_1019,Blinkit,Yellaki Bananas (Crate),60,90.0,5400.0,2026-03-20
BNN_1020,Flipkart,Red Bananas (Box),75,110.0,8250.0,2026-03-01
BNN_1021,Zomato,Nendran Bananas (Crate),80,85.0,6800.0,2026-03-02
BNN_1022,BigBasket,G9 Bananas (Crate),100,60.0,6000.0,2026-03-03
BNN_1023,Blinkit,Poovan Bananas (Box),35,75.0,2625.0,2026-03-04
BNN_1024,Flipkart,Rasthali Bananas (Box),45,95.0,4275.0,2026-03-05
BNN_1025,Zomato,Robusta Bananas (Crate),55,50.0,2750.0,2026-03-06
BNN_1026,BigBasket,Cavendish Bananas (Box),65,65.0,4225.0,2026-03-07
BNN_1027,Blinkit,Yellaki Bananas (Crate),70,90.0,6300.0,2026-03-08
BNN_1028,Flipkart,Red Bananas (Box),85,110.0,9350.0,2026-03-09
BNN_1029,Zomato,Nendran Bananas (Crate),20,85.0,1700.0,2026-03-10
BNN_1030,BigBasket,G9 Bananas (Crate),30,60.0,1800.0,2026-03-11
BNN_1031,Blinkit,Poovan Bananas (Box),40,75.0,3000.0,2026-03-12
BNN_1032,Flipkart,Rasthali Bananas (Box),50,95.0,4750.0,2026-03-13
BNN_1033,Zomato,Robusta Bananas (Crate),60,50.0,3000.0,2026-03-14
BNN_1034,BigBasket,Cavendish Bananas (Box),75,65.0,4875.0,2026-03-15
BNN_1035,Blinkit,Yellaki Bananas (Crate),80,90.0,7200.0,2026-03-16
BNN_1036,Flipkart,Red Bananas (Box),100,110.0,11000.0,2026-03-17
BNN_1037,Zomato,Nendran Bananas (Crate),35,85.0,2975.0,2026-03-18
BNN_1038,BigBasket,G9 Bananas (Crate),45,60.0,2700.0,2026-03-19
BNN_1039,Blinkit,Poovan Bananas (Box),55,75.0,4125.0,2026-03-20
BNN_1040,Flipkart,Rasthali Bananas (Box),65,95.0,6175.0,2026-03-01
BNN_1041,Zomato,Robusta Bananas (Crate),70,50.0,3500.0,2026-03-02
BNN_1042,BigBasket,Cavendish Bananas (Box),85,65.0,5525.0,2026-03-03
BNN_1043,Blinkit,Yellaki Bananas (Crate),20,90.0,1800.0,2026-03-04
BNN_1044,Flipkart,Red Bananas (Box),30,110.0,3300.0,2026-03-05
BNN_1045,Zomato,Nendran Bananas (Crate),40,85.0,3400.0,2026-03-06
