order_id,date,utr,bank,credit,debit,balance,narration
BNN_1001,2026-03-03,UTR_BNN_1001,HDFC Bank,976.4,0.0,500976.4,CMS/RZP/UTR_BNN_1001/BNN_1001/ZOMATO
BNN_1002,2026-03-04,UTR_BNN_1002,ICICI Bank,1903.98,0.0,502880.38,CMS/RZP/UTR_BNN_1002/BNN_1002/BIGBASKET
BNN_1003,2026-03-05,UTR_BNN_1003,Axis Bank,3515.04,0.0,506395.42,CMS/RZP/UTR_BNN_1003/BNN_1003/BLINKIT
BNN_1004,2026-03-06,UTR_BNN_1004,Kotak Mahindra Bank,5370.2,0.0,511765.62,CMS/RZP/UTR_BNN_1004/BNN_1004/FLIPKART
BNN_1005,2026-03-07,UTR_BNN_1005,HDFC Bank,4979.64,0.0,516745.26,CMS/RZP/UTR_BNN_1005/BNN_1005/ZOMATO
BNN_1006,2026-03-08,UTR_BNN_1006,ICICI Bank,4393.8,0.0,521139.06,CMS/RZP/UTR_BNN_1006/BNN_1006/BIGBASKET
BNN_1007,2026-03-09,UTR_BNN_1007,Axis Bank,5858.4,0.0,526997.46,CMS/RZP/UTR_BNN_1007/BNN_1007/BLINKIT
BNN_1008,2026-03-10,UTR_BNN_1008,Kotak Mahindra Bank,9275.8,0.0,536273.26,CMS/RZP/UTR_BNN_1008/BNN_1008/FLIPKART
BNN_1009,2026-03-11,UTR_BNN_1009,HDFC Bank,1708.7,0.0,537981.96,CMS/RZP/UTR_BNN_1009/BNN_1009/ZOMATO
BNN_1010,2026-03-12,UTR_BNN_1010,ICICI Bank,2855.97,0.0,540837.93,CMS/RZP/UTR_BNN_1010/BNN_1010/BIGBASKET
BNN_1011,2026-03-13,UTR_BNN_1011,Axis Bank,4833.18,0.0,545671.11,CMS/RZP/UTR_BNN_1011/BNN_1011/BLINKIT
BNN_1012,2026-03-14,UTR_BNN_1012,Kotak Mahindra Bank,6981.26,0.0,552652.37,CMS/RZP/UTR_BNN_1012/BNN_1012/FLIPKART
BNN_1013,2026-03-15,UTR_BNN_1013,HDFC Bank,5809.58,0.0,558461.95,CMS/RZP/UTR_BNN_1013/BNN_1013/ZOMATO
BNN_1014,2026-03-16,UTR_BNN_1014,ICICI Bank,4979.64,0.0,563441.59,CMS/RZP/UTR_BNN_1014/BNN_1014/BIGBASKET
BNN_1015,2026-03-17,UTR_BNN_1015,Axis Bank,1464.6,0.0,564906.19,CMS/RZP/UTR_BNN_1015/BNN_1015/BLINKIT
BNN_1016,2026-03-18,UTR_BNN_1016,Kotak Mahindra Bank,2782.74,0.0,567688.93,CMS/RZP/UTR_BNN_1016/BNN_1016/FLIPKART
BNN_1017,2026-03-19,UTR_BNN_1017,HDFC Bank,1952.8,0.0,569641.73,CMS/RZP/UTR_BNN_1017/BNN_1017/ZOMATO
BNN_1018,2026-03-20,UTR_BNN_1018,ICICI Bank,3173.3,0.0,572815.03,CMS/RZP/UTR_BNN_1018/BNN_1018/BIGBASKET
BNN_1019,2026-03-21,UTR_BNN_1019,Axis Bank,5272.56,0.0,578087.59,CMS/RZP/UTR_BNN_1019/BNN_1019/BLINKIT
BNN_1020,2026-03-22,UTR_BNN_1020,Kotak Mahindra Bank,8055.3,0.0,586142.89,CMS/RZP/UTR_BNN_1020/BNN_1020/FLIPKART
BNN_1021,2026-03-23,UTR_BNN_1021,HDFC Bank,6639.52,0.0,592782.41,CMS/RZP/UTR_BNN_1021/BNN_1021/ZOMATO
BNN_1022,2026-03-24,UTR_BNN_1022,ICICI Bank,5858.4,0.0,598640.81,CMS/RZP/UTR_BNN_1022/BNN_1022/BIGBASKET
BNN_1023,2026-03-25,UTR_BNN_1023,Axis Bank,2563.05,0.0,601203.86,CMS/RZP/UTR_BNN_1023/BNN_1023/BLINKIT
BNN_1024,2026-03-26,UTR_BNN_1024,Kotak Mahindra Bank,4174.11,0.0,605377.97,CMS/RZP/UTR_BNN_1024/BNN_1024/FLIPKART
BNN_1025,2026-03-02,UTR_BNN_1025,HDFC Bank,2685.1,0.0,608063.07,CMS/RZP/UTR_BNN_1025/BNN_1025/ZOMATO
BNN_1026,2026-03-03,UTR_BNN_1026,ICICI Bank,4125.29,0.0,612188.36,CMS/RZP/UTR_BNN_1026/BNN_1026/BIGBASKET
BNN_1027,2026-03-04,UTR_BNN_1027,Axis Bank,6151.32,0.0,618339.68,CMS/RZP/UTR_BNN_1027/BNN_1027/BLINKIT
BNN_1028,2026-03-05,UTR_BNN_1028,Kotak Mahindra Bank,9129.34,0.0,627469.02,CMS/RZP/UTR_BNN_1028/BNN_1028/FLIPKART
BNN_1029,2026-03-06,UTR_BNN_1029,HDFC Bank,1659.88,0.0,629128.9,CMS/RZP/UTR_BNN_1029/BNN_1029/ZOMATO
BNN_1030,2026-03-07,UTR_BNN_1030,ICICI Bank,1757.52,0.0,630886.42,CMS/RZP/UTR_BNN_1030/BNN_1030/BIGBASKET
BNN_1031,2026-03-08,UTR_BNN_1031,Axis Bank,2929.2,0.0,633815.62,CMS/RZP/UTR_BNN_1031/BNN_1031/BLINKIT
BNN_1032,2026-03-09,UTR_BNN_1032,Kotak Mahindra Bank,4637.9,0.0,638453.52,CMS/RZP/UTR_BNN_1032/BNN_1032/FLIPKART
BNN_1033,2026-03-10,UTR_BNN_1033,HDFC Bank,2929.2,0.0,641382.72,CMS/RZP/UTR_BNN_1033/BNN_1033/ZOMATO
BNN_1034,2026-03-11,UTR_BNN_1034,ICICI Bank,4759.95,0.0,646142.67,CMS/RZP/UTR_BNN_1034/BNN_1034/BIGBASKET
BNN_1035,2026-03-12,UTR_BNN_1035,Axis Bank,7030.08,0.0,653172.75,CMS/RZP/UTR_BNN_1035/BNN_1035/BLINKIT
BNN_1036,2026-03-13,UTR_BNN_1036,Kotak Mahindra Bank,10740.4,0.0,663913.15,CMS/RZP/UTR_BNN_1036/BNN_1036/FLIPKART
BNN_1037,2026-03-14,UTR_BNN_1037,HDFC Bank,2904.79,0.0,666817.94,CMS/RZP/UTR_BNN_1037/BNN_1037/ZOMATO
