utr,bank,channel,credit,date
BNN_1001,ICICI Bank,Zomato,1000.00,2026-03-03
BNN_1002,HDFC Bank,Flipkart,1950.00,2026-03-04
BNN_1003,ICICI Bank,Zomato,3600.00,2026-03-05
BNN_1004,HDFC Bank,Flipkart,5500.00,2026-03-06
BNN_1005,ICICI Bank,Zomato,5100.00,2026-03-07
BNN_1006,HDFC Bank,Flipkart,4500.00,2026-03-08
BNN_1007,ICICI Bank,Zomato,6000.00,2026-03-09
BNN_1008,HDFC Bank,Flipkart,9500.00,2026-03-10
BNN_1009,ICICI Bank,Zomato,1750.00,2026-03-11
BNN_1010,HDFC Bank,Flipkart,2925.00,2026-03-12
BNN_1011,ICICI Bank,Zomato,4950.00,2026-03-13
BNN_1012,HDFC Bank,Flipkart,7150.00,2026-03-14
BNN_1013,ICICI Bank,Zomato,5950.00,2026-03-15
BNN_1014,HDFC Bank,Flipkart,5100.00,2026-03-16
BNN_1015,ICICI Bank,Zomato,1500.00,2026-03-17
BNN_1016,HDFC Bank,Flipkart,2850.00,2026-03-18
BNN_1017,ICICI Bank,Zomato,2000.00,2026-03-19
BNN_1018,HDFC Bank,Flipkart,3250.00,2026-03-02
BNN_1019,ICICI Bank,Zomato,5400.00,2026-03-03
BNN_1020,HDFC Bank,Flipkart,8250.00,2026-03-04
BNN_1021,ICICI Bank,Zomato,6800.00,2026-03-05
BNN_1022,HDFC Bank,Flipkart,6000.00,2026-03-06
BNN_1023,ICICI Bank,Zomato,2625.00,2026-03-07
BNN_1024,HDFC Bank,Flipkart,4275.00,2026-03-08
BNN_1025,ICICI Bank,Zomato,2750.00,2026-03-09
BNN_1026,HDFC Bank,Flipkart,4225.00,2026-03-10
BNN_1027,ICICI Bank,Zomato,6300.00,2026-03-11
BNN_1028,HDFC Bank,Flipkart,9350.00,2026-03-12
BNN_1029,ICICI Bank,Zomato,1700.00,2026-03-13
BNN_1030,HDFC Bank,Flipkart,1800.00,2026-03-14
BNN_1031,ICICI Bank,Zomato,3000.00,2026-03-15
BNN_1032,HDFC Bank,Flipkart,4750.00,2026-03-16
BNN_1033,ICICI Bank,Zomato,3000.00,2026-03-17
BNN_1034,HDFC Bank,Flipkart,4875.00,2026-03-18
BNN_1035,ICICI Bank,Zomato,7200.00,2026-03-19
BNN_1036,HDFC Bank,Flipkart,11000.00,2026-03-02
BNN_1037,ICICI Bank,Zomato,2975.00,2026-03-03
BNN_1038,HDFC Bank,Flipkart,2700.00,2026-03-04
BNN_1039,ICICI Bank,Zomato,4125.00,2026-03-05
BNN_1040,HDFC Bank,Flipkart,6175.00,2026-03-06
BNN_1041,ICICI Bank,Zomato,3500.00,2026-03-07
BNN_1042,HDFC Bank,Flipkart,5525.00,2026-03-08
BNN_1043,ICICI Bank,Zomato,1800.00,2026-03-09
BNN_1044,HDFC Bank,Flipkart,3300.00,2026-03-10
BNN_1045,ICICI Bank,Zomato,3400.00,2026-03-11
BNN_1046,HDFC Bank,Flipkart,3000.00,2026-03-12
BNN_1047,ICICI Bank,Zomato,4500.00,2026-03-13
BNN_1048,HDFC Bank,Flipkart,7125.00,2026-03-14
BNN_1049,ICICI Bank,Zomato,4000.00,2026-03-15
BNN_1050,HDFC Bank,Flipkart,6500.00,2026-03-16
BNN_1051,ICICI Bank,Zomato,3150.00,2026-03-17
BNN_1052,HDFC Bank,Flipkart,4950.00,2026-03-18
BNN_1053,ICICI Bank,Zomato,4675.00,2026-03-19
BNN_1054,HDFC Bank,Flipkart,3900.00,2026-03-02
BNN_1055,ICICI Bank,Zomato,5250.00,2026-03-03
BNN_1056,HDFC Bank,Flipkart,8075.00,2026-03-04
BNN_1057,ICICI Bank,Zomato,1000.00,2026-03-05
BNN_1058,HDFC Bank,Flipkart,1950.00,2026-03-06
BNN_1059,ICICI Bank,Zomato,3600.00,2026-03-07
BNN_1060,HDFC Bank,Flipkart,5500.00,2026-03-08
BNN_1061,ICICI Bank,Zomato,5100.00,2026-03-09
BNN_1062,HDFC Bank,Flipkart,4500.00,2026-03-10
BNN_1063,ICICI Bank,Zomato,6000.00,2026-03-11
BNN_1064,HDFC Bank,Flipkart,9500.00,2026-03-12
BNN_1065,ICICI Bank,Zomato,1750.00,2026-03-13
BNN_1066,HDFC Bank,Flipkart,2925.00,2026-03-14
BNN_1067,ICICI Bank,Zomato,4950.00,2026-03-15
BNN_1068,HDFC Bank,Flipkart,7150.00,2026-03-16
BNN_1069,ICICI Bank,Zomato,5950.00,2026-03-17
BNN_1070,HDFC Bank,Flipkart,5100.00,2026-03-18
BNN_1071,ICICI Bank,Zomato,4000.00,2026-03-19
BNN_1072,HDFC Bank,Flipkart,2100.00,2026-03-02
BNN_1073,ICICI Bank,Zomato,2400.00,2026-03-03
BNN_1074,HDFC Bank,Flipkart,2450.00,2026-03-04
BNN_1075,ICICI Bank,Zomato,4500.00,2026-03-05
BNN_1076,HDFC Bank,Flipkart,7600.00,2026-03-06
BNN_1077,ICICI Bank,Zomato,5950.00,2026-03-07
BNN_1078,HDFC Bank,Flipkart,5300.00,2026-03-08
BNN_1079,ICICI Bank,Zomato,1675.00,2026-03-09
BNN_1080,HDFC Bank,Flipkart,3275.00,2026-03-10
