txn_date,value_date,description,ref_utr,debit_amt,credit_amt,balance,chq_no,branch_code
2026-03-02,2026-03-02,NEFT-txn_RzX_99001-INV-MD-55001,UTR-HDFC-8821,0.0,155317.5,655317.5,NULL,HDFC0001234
2026-03-04,2026-03-04,NEFT-txn_RzX_99003-INV-MD-55003,UTR-HDFC-8823,0.0,41418.2,696735.7,NULL,HDFC0001234
2026-03-06,2026-03-06,NEFT-txn_RzX_99005-INV-MD-55005,UTR-HDFC-8825,0.0,81110.05,777845.75,NULL,HDFC0001234
2026-03-08,2026-03-08,NEFT-txn_RzX_99007-INV-MD-55007,UTR-HDFC-8827,0.0,41417.7,819263.45,NULL,HDFC0001234
2026-03-10,2026-03-10,NEFT-txn_RzX_99009-INV-MD-55009,UTR-HDFC-8829,0.0,8790.6,828054.05,NULL,HDFC0001234
2026-03-12,2026-03-12,NEFT-txn_RzX_99011-INV-MD-55011,UTR-HDFC-8831,0.0,155317.5,983371.55,NULL,HDFC0001234
2026-03-14,2026-03-14,NEFT-txn_RzX_99013-INV-MD-55013,UTR-HDFC-8833,0.0,41418.2,1024789.75,NULL,HDFC0001234
2026-03-16,2026-03-16,NEFT-txn_RzX_99015-INV-MD-55015,UTR-HDFC-8835,0.0,40267.3,1065057.05,NULL,HDFC0001234
2026-03-18,2026-03-18,NEFT-txn_RzX_99017-INV-MD-55017,UTR-HDFC-8837,0.0,40992.91,1106049.96,NULL,HDFC0001234
2026-03-20,2026-03-20,NEFT-txn_RzX_99019-INV-MD-55019,UTR-HDFC-8839,0.0,14752.92,1120802.88,NULL,HDFC0001234
2026-03-22,2026-03-22,NEFT-txn_RzX_99021-INV-MD-55021,UTR-HDFC-8841,0.0,155317.5,1276120.38,NULL,HDFC0001234
2026-03-24,2026-03-24,NEFT-txn_RzX_99023-INV-MD-55023,UTR-HDFC-8843,0.0,144963.2,1421083.58,NULL,HDFC0001234
2026-03-26,2026-03-26,NEFT-txn_RzX_99025-INV-MD-55025,UTR-HDFC-8845,0.0,80534.8,1501618.38,NULL,HDFC0001234
2026-03-03,2026-03-03,NEFT-txn_RzX_99027-INV-MD-55027,UTR-HDFC-8847,0.0,82835.7,1584454.08,NULL,HDFC0001234
2026-03-05,2026-03-05,NEFT-txn_RzX_99029-INV-MD-55029,UTR-HDFC-8849,0.0,17199.0,1601653.08,NULL,HDFC0001234
2026-03-07,2026-03-07,NEFT-txn_RzX_99031-INV-MD-55031,UTR-HDFC-8851,0.0,51772.5,1653425.58,NULL,HDFC0001234
2026-03-09,2026-03-09,NEFT-txn_RzX_99033-INV-MD-55033,UTR-HDFC-8853,0.0,82836.2,1736261.78,NULL,HDFC0001234
2026-03-11,2026-03-11,NEFT-txn_RzX_99035-INV-MD-55035,UTR-HDFC-8855,0.0,80534.8,1816796.58,NULL,HDFC0001234
2026-03-13,2026-03-13,NEFT-txn_RzX_99037-INV-MD-55037,UTR-HDFC-8857,0.0,55223.7,1872020.28,NULL,HDFC0001234
2026-03-15,2026-03-15,NEFT-txn_RzX_99039-INV-MD-55039,UTR-HDFC-8859,0.0,8408.4,1880428.68,NULL,HDFC0001234
2026-03-17,2026-03-17,NEFT-txn_RzX_99041-INV-MD-55041,UTR-HDFC-8861,0.0,53100.0,1933528.68,NULL,HDFC0001234
2026-03-19,2026-03-19,NEFT-txn_RzX_99043-INV-MD-55043,UTR-HDFC-8863,0.0,169920.2,2103448.88,NULL,HDFC0001234
2026-03-21,2026-03-21,NEFT-txn_RzX_99045-INV-MD-55045,UTR-HDFC-8865,0.0,123899.8,2227348.68,NULL,HDFC0001234
2026-03-23,2026-03-23,NEFT-txn_RzX_99047-INV-MD-55047,UTR-HDFC-8867,0.0,70799.7,2298148.38,NULL,HDFC0001234
2026-03-25,2026-03-25,NEFT-txn_RzX_99049-INV-MD-55049,UTR-HDFC-8869,0.0,9016.0,2307164.38,NULL,HDFC0001234
2026-03-02,2026-03-02,NEFT-txn_RzX_99051-INV-MD-55051,UTR-HDFC-8871,0.0,51772.5,2358936.88,NULL,HDFC0001234
2026-03-04,2026-03-04,NEFT-txn_RzX_99053-INV-MD-55053,UTR-HDFC-8873,0.0,165672.2,2524609.08,NULL,HDFC0001234
2026-03-06,2026-03-06,NEFT-txn_RzX_99055-INV-MD-55055,UTR-HDFC-8875,0.0,80534.8,2605143.88,NULL,HDFC0001234
2026-03-08,2026-03-08,NEFT-txn_RzX_99057-INV-MD-55057,UTR-HDFC-8877,0.0,27611.7,2632755.58,NULL,HDFC0001234
2026-03-10,2026-03-10,NEFT-txn_RzX_99059-INV-MD-55059,UTR-HDFC-8879,0.0,10319.4,2643074.98,NULL,HDFC0001234
2026-03-12,2026-03-12,NEFT-txn_RzX_99061-INV-MD-55061,UTR-HDFC-8881,0.0,51772.5,2694847.48,NULL,HDFC0001234
2026-03-14,2026-03-14,NEFT-txn_RzX_99063-INV-MD-55063,UTR-HDFC-8883,0.0,165672.2,2860519.68,NULL,HDFC0001234
2026-03-16,2026-03-16,NEFT-txn_RzX_99065-INV-MD-55065,UTR-HDFC-8885,0.0,161069.8,3021589.48,NULL,HDFC0001234
2026-03-18,2026-03-18,NEFT-txn_RzX_99067-INV-MD-55067,UTR-HDFC-8887,0.0,69029.7,3090619.18,NULL,HDFC0001234
2026-03-20,2026-03-20,NEFT-txn_RzX_99069-INV-MD-55069,UTR-HDFC-8889,0.0,17581.2,3108200.38,NULL,HDFC0001234
2026-03-22,2026-03-22,NEFT-txn_RzX_99071-INV-MD-55071,UTR-HDFC-8891,0.0,51772.5,3159972.88,NULL,HDFC0001234
2026-03-24,2026-03-24,NEFT-txn_RzX_99073-INV-MD-55073,UTR-HDFC-8893,0.0,82836.2,3242809.08,NULL,HDFC0001234
2026-03-26,2026-03-26,NEFT-txn_RzX_99075-INV-MD-55075,UTR-HDFC-8895,0.0,120802.3,3363611.38,NULL,HDFC0001234
2026-03-03,2026-03-03,NEFT-txn_RzX_99077-INV-MD-55077,UTR-HDFC-8897,0.0,82835.7,3446447.08,NULL,HDFC0001234
2026-03-05,2026-03-05,NEFT-txn_RzX_99079-INV-MD-55079,UTR-HDFC-8899,0.0,9555.0,3456002.08,NULL,HDFC0001234
2026-03-07,2026-03-07,NEFT-txn_RzX_99081-INV-MD-55081,UTR-HDFC-8901,0.0,51772.5,3507774.58,NULL,HDFC0001234
2026-03-09,2026-03-09,NEFT-txn_RzX_99083-INV-MD-55083,UTR-HDFC-8903,0.0,103545.2,3611319.78,NULL,HDFC0001234
2026-03-11,2026-03-11,NEFT-txn_RzX_99085-INV-MD-55085,UTR-HDFC-8905,0.0,80534.8,3691854.58,NULL,HDFC0001234
2026-03-13,2026-03-13,NEFT-txn_RzX_99087-INV-MD-55087,UTR-HDFC-8907,0.0,27611.7,3719466.28,NULL,HDFC0001234
2026-03-15,2026-03-15,NEFT-txn_RzX_99089-INV-MD-55089,UTR-HDFC-8909,0.0,17581.2,3737047.48,NULL,HDFC0001234
2026-03-17,2026-03-17,NEFT-txn_RzX_99091-INV-MD-55091,UTR-HDFC-8911,0.0,103545.0,3840592.48,NULL,HDFC0001234
2026-03-19,2026-03-19,NEFT-txn_RzX_99093-INV-MD-55093,UTR-HDFC-8913,0.0,82836.2,3923428.68,NULL,HDFC0001234
2026-03-21,2026-03-21,NEFT-txn_RzX_99095-INV-MD-55095,UTR-HDFC-8915,0.0,80534.8,4003963.48,NULL,HDFC0001234
2026-03-23,2026-03-23,NEFT-txn_RzX_99097-REF-MISSING,UTR-HDFC-8917,0.0,55223.7,4059187.18,NULL,HDFC0001234
2026-03-25,2026-03-25,NEFT-txn_RzX_99099-REF-MISSING,UTR-HDFC-8919,0.0,9555.0,4068742.18,NULL,HDFC0001234
2026-03-25,2026-03-25,NEFT-txn_RzX_99099-REF-MISSING [DUPLICATE],UTR-HDFC-8919,0.0,9555.0,4078297.18,NULL,HDFC0001234
