utr,credit,date
ORD_1001,976.40,2026-03-02
ORD_1002,1464.60,2026-03-02
ORD_1003,1952.80,2026-03-02
ORD_1004,2441.00,2026-03-02
ORD_1005,2929.20,2026-03-02
ORD_1006,3417.40,2026-03-02
ORD_1007,3905.60,2026-03-02
ORD_1008,4393.80,2026-03-02
ORD_1009,4882.00,2026-03-02
ORD_1010,5370.20,2026-03-02
ORD_1011,5858.40,2026-03-03
ORD_1012,6346.60,2026-03-03
ORD_1013,6834.80,2026-03-03
ORD_1014,7323.00,2026-03-03
ORD_1015,7811.20,2026-03-03
ORD_1016,8299.40,2026-03-03
ORD_1017,8787.60,2026-03-03
ORD_1018,9275.80,2026-03-03
ORD_1019,9764.00,2026-03-03
ORD_1020,11716.80,2026-03-03
ORD_1021,1000.00,2026-03-12
ORD_1022,1250.00,2026-03-12
ORD_1023,1400.00,2026-03-14
ORD_1024,1800.00,2026-03-15
ORD_1025,2100.00,2026-03-16
ORD_1026,2300.00,2026-03-17
ORD_1027,2600.00,2026-03-18
ORD_1028,2900.00,2026-03-18
ORD_1029,3100.00,2026-03-19
ORD_1030,3400.00,2026-03-20
ORD_1031,3700.00,2026-03-21
ORD_1032,4100.00,2026-03-22
ORD_1033,4400.00,2026-03-23
ORD_1034,4800.00,2026-03-24
ORD_1035,5200.00,2026-03-25
ORD-1036,1100.00,2026-03-11
1037_RZP,1300.00,2026-03-11
ORD_1038,1600.00,2026-03-11
INV20261039,1900.00,2026-03-12
BILL-1040-SETTL,2200.00,2026-03-12
ORD-1041,2500.00,2026-03-13
TXN_1042,2800.00,2026-03-13
PAY-1043,3100.00,2026-03-14
ORD_1044_CR,3500.00,2026-03-14
REF1045,3900.00,2026-03-15
BATCH_SETTL_01,2929.20,2026-03-17
BATCH_SETTL_02,6834.80,2026-03-17
BATCH_SETTL_03,9764.00,2026-03-18
BATCH_SETTL_04,1952.80,2026-03-18
