order_id,platform,product,crates,unit_price,amount,date
BNN_1001,Zomato,Robusta Bananas (Crate),20,50.00,1000.00,2026-03-02
BNN_1002,Flipkart,Cavendish Bananas (Box),30,65.00,1950.00,2026-03-03
BNN_1003,Zomato,Yellaki Bananas (Crate),40,90.00,3600.00,2026-03-04
BNN_1004,Flipkart,Red Bananas (Box),50,110.00,5500.00,2026-03-05
BNN_1005,Zomato,Nendran Bananas (Crate),60,85.00,5100.00,2026-03-06
BNN_1006,Flipkart,G9 Bananas (Crate),75,60.00,4500.00,2026-03-07
BNN_1007,Zomato,Poovan Bananas (Box),80,75.00,6000.00,2026-03-08
BNN_1008,Flipkart,Rasthali Bananas (Box),100,95.00,9500.00,2026-03-09
BNN_1009,Zomato,Robusta Bananas (Crate),35,50.00,1750.00,2026-03-10
BNN_1010,Flipkart,Cavendish Bananas (Box),45,65.00,2925.00,2026-03-11
BNN_1011,Zomato,Yellaki Bananas (Crate),55,90.00,4950.00,2026-03-12
BNN_1012,Flipkart,Red Bananas (Box),65,110.00,7150.00,2026-03-13
BNN_1013,Zomato,Nendran Bananas (Crate),70,85.00,5950.00,2026-03-14
BNN_1014,Flipkart,G9 Bananas (Crate),85,60.00,5100.00,2026-03-15
BNN_1015,Zomato,Poovan Bananas (Box),20,75.00,1500.00,2026-03-16
BNN_1016,Flipkart,Rasthali Bananas (Box),30,95.00,2850.00,2026-03-17
BNN_1017,Zomato,Robusta Bananas (Crate),40,50.00,2000.00,2026-03-18
BNN_1018,Flipkart,Cavendish Bananas (Box),50,65.00,3250.00,2026-03-01
BNN_1019,Zomato,Yellaki Bananas (Crate),60,90.00,5400.00,2026-03-02
BNN_1020,Flipkart,Red Bananas (Box),75,110.00,8250.00,2026-03-03
BNN_1021,Zomato,Nendran Bananas (Crate),80,85.00,6800.00,2026-03-04
BNN_1022,Flipkart,G9 Bananas (Crate),100,60.00,6000.00,2026-03-05
BNN_1023,Zomato,Poovan Bananas (Box),35,75.00,2625.00,2026-03-06
BNN_1024,Flipkart,Rasthali Bananas (Box),45,95.00,4275.00,2026-03-07
BNN_1025,Zomato,Robusta Bananas (Crate),55,50.00,2750.00,2026-03-08
BNN_1026,Flipkart,Cavendish Bananas (Box),65,65.00,4225.00,2026-03-09
BNN_1027,Zomato,Yellaki Bananas (Crate),70,90.00,6300.00,2026-03-10
BNN_1028,Flipkart,Red Bananas (Box),85,110.00,9350.00,2026-03-11
BNN_1029,Zomato,Nendran Bananas (Crate),20,85.00,1700.00,2026-03-12
BNN_1030,Flipkart,G9 Bananas (Crate),30,60.00,1800.00,2026-03-13
BNN_1031,Zomato,Poovan Bananas (Box),40,75.00,3000.00,2026-03-14
BNN_1032,Flipkart,Rasthali Bananas (Box),50,95.00,4750.00,2026-03-15
BNN_1033,Zomato,Robusta Bananas (Crate),60,50.00,3000.00,2026-03-16
BNN_1034,Flipkart,Cavendish Bananas (Box),75,65.00,4875.00,2026-03-17
BNN_1035,Zomato,Yellaki Bananas (Crate),80,90.00,7200.00,2026-03-18
BNN_1036,Flipkart,Red Bananas (Box),100,110.00,11000.00,2026-03-01
BNN_1037,Zomato,Nendran Bananas (Crate),35,85.00,2975.00,2026-03-02
BNN_1038,Flipkart,G9 Bananas (Crate),45,60.00,2700.00,2026-03-03
BNN_1039,Zomato,Poovan Bananas (Box),55,75.00,4125.00,2026-03-04
BNN_1040,Flipkart,Rasthali Bananas (Box),65,95.00,6175.00,2026-03-05
BNN_1041,Zomato,Robusta Bananas (Crate),70,50.00,3500.00,2026-03-06
BNN_1042,Flipkart,Cavendish Bananas (Box),85,65.00,5525.00,2026-03-07
BNN_1043,Zomato,Yellaki Bananas (Crate),20,90.00,1800.00,2026-03-08
BNN_1044,Flipkart,Red Bananas (Box),30,110.00,3300.00,2026-03-09
BNN_1045,Zomato,Nendran Bananas (Crate),40,85.00,3400.00,2026-03-10
BNN_1046,Flipkart,G9 Bananas (Crate),50,60.00,3000.00,2026-03-11
BNN_1047,Zomato,Poovan Bananas (Box),60,75.00,4500.00,2026-03-12
BNN_1048,Flipkart,Rasthali Bananas (Box),75,95.00,7125.00,2026-03-13
BNN_1049,Zomato,Robusta Bananas (Crate),80,50.00,4000.00,2026-03-14
BNN_1050,Flipkart,Cavendish Bananas (Box),100,65.00,6500.00,2026-03-15
BNN_1051,Zomato,Yellaki Bananas (Crate),35,90.00,3150.00,2026-03-16
BNN_1052,Flipkart,Red Bananas (Box),45,110.00,4950.00,2026-03-17
BNN_1053,Zomato,Nendran Bananas (Crate),55,85.00,4675.00,2026-03-18
BNN_1054,Flipkart,G9 Bananas (Crate),65,60.00,3900.00,2026-03-01
BNN_1055,Zomato,Poovan Bananas (Box),70,75.00,5250.00,2026-03-02
BNN_1056,Flipkart,Rasthali Bananas (Box),85,95.00,8075.00,2026-03-03
