trans_date,narration,utr_number,withdrawal_amt,deposit_amt,balance_amt,instrument_type
2026-03-03,RTGS-txn_RzX_99002-INV-MD-55002,UTR-ICICI-7712,0.0,97792.6,297792.6,NEFT
2026-03-05,RTGS-txn_RzX_99004-INV-MD-55004,UTR-ICICI-7714,0.0,69029.9,366822.5,NEFT
2026-03-07,RTGS-txn_RzX_99006-INV-MD-55006,UTR-ICICI-7716,0.0,58100.55,424923.05,NEFT
2026-03-09,RTGS-txn_RzX_99008-INV-MD-55008,UTR-ICICI-7718,0.0,21130.2,446053.25,NEFT
2026-03-11,RTGS-txn_RzX_99010-INV-MD-55010,UTR-ICICI-7720,0.0,52416.0,498469.25,NEFT
2026-03-13,RTGS-txn_RzX_99012-INV-MD-55012,UTR-ICICI-7722,0.0,195585.1,694054.35,RTGS
2026-03-15,RTGS-txn_RzX_99014-INV-MD-55014,UTR-ICICI-7724,0.0,29337.65,723392.0,NEFT
2026-03-17,RTGS-txn_RzX_99016-INV-MD-55016,UTR-ICICI-7726,0.0,56935.29,780327.29,NEFT
2026-03-19,RTGS-txn_RzX_99018-INV-MD-55018,UTR-ICICI-7728,0.0,17508.96,797836.25,NEFT
2026-03-21,RTGS-txn_RzX_99020-INV-MD-55020,UTR-ICICI-7730,0.0,51878.4,849714.65,NEFT
2026-03-23,RTGS-txn_RzX_99022-INV-MD-55022,UTR-ICICI-7732,0.0,97792.6,947507.25,NEFT
2026-03-25,RTGS-txn_RzX_99024-INV-MD-55024,UTR-ICICI-7734,0.0,88013.15,1035520.4,NEFT
2026-03-02,RTGS-txn_RzX_99026-INV-MD-55026,UTR-ICICI-7736,0.0,115050.3,1150570.7,NEFT
2026-03-04,RTGS-txn_RzX_99028-INV-MD-55028,UTR-ICICI-7738,0.0,13759.2,1164329.9,NEFT
2026-03-06,RTGS-txn_RzX_99030-INV-MD-55030,UTR-ICICI-7740,0.0,52416.0,1216745.9,NEFT
2026-03-08,RTGS-txn_RzX_99032-INV-MD-55032,UTR-ICICI-7742,0.0,195585.1,1412331.0,RTGS
2026-03-10,RTGS-txn_RzX_99034-INV-MD-55034,UTR-ICICI-7744,0.0,68454.65,1480785.65,NEFT
2026-03-12,RTGS-txn_RzX_99036-INV-MD-55036,UTR-ICICI-7746,0.0,57525.3,1538310.95,NEFT
2026-03-14,RTGS-txn_RzX_99038-INV-MD-55038,UTR-ICICI-7748,0.0,11302.2,1549613.15,NEFT
2026-03-16,RTGS-txn_RzX_99040-INV-MD-55040,UTR-ICICI-7750,0.0,104832.0,1654445.15,NEFT
2026-03-18,RTGS-txn_RzX_99042-INV-MD-55042,UTR-ICICI-7752,0.0,195585.1,1850030.25,RTGS
2026-03-20,RTGS-txn_RzX_99044-INV-MD-55044,UTR-ICICI-7754,0.0,78233.9,1928264.15,NEFT
2026-03-22,RTGS-txn_RzX_99046-INV-MD-55046,UTR-ICICI-7756,0.0,28762.8,1957026.95,NEFT
2026-03-24,RTGS-txn_RzX_99048-INV-MD-55048,UTR-ICICI-7758,0.0,18181.8,1975208.75,NEFT
2026-03-26,RTGS-txn_RzX_99050-INV-MD-55050,UTR-ICICI-7760,0.0,104832.0,2080040.75,NEFT
2026-03-07,RTGS-txn_RzX_99052-INV-MD-55052,UTR-ICICI-7762,0.0,195585.1,2275625.85,RTGS
2026-03-09,RTGS-txn_RzX_99054-INV-MD-55054,UTR-ICICI-7764,0.0,78233.9,2353859.75,NEFT
2026-03-11,RTGS-txn_RzX_99056-INV-MD-55056,UTR-ICICI-7766,0.0,28762.8,2382622.55,NEFT
2026-03-13,RTGS-txn_RzX_99058-INV-MD-55058,UTR-ICICI-7768,0.0,20147.4,2402769.95,NEFT
2026-03-15,RTGS-txn_RzX_99060-INV-MD-55060,UTR-ICICI-7770,0.0,104832.0,2507601.95,NEFT
2026-03-13,RTGS-txn_RzX_99062-INV-MD-55062,UTR-ICICI-7772,0.0,97792.6,2605394.55,NEFT
2026-03-15,RTGS-txn_RzX_99064-INV-MD-55064,UTR-ICICI-7774,0.0,39116.9,2644511.45,NEFT
2026-03-17,RTGS-txn_RzX_99066-INV-MD-55066,UTR-ICICI-7776,0.0,86287.8,2730799.25,NEFT
2026-03-19,RTGS-txn_RzX_99068-INV-MD-55068,UTR-ICICI-7778,0.0,19656.0,2750455.25,NEFT
2026-03-21,RTGS-txn_RzX_99070-INV-MD-55070,UTR-ICICI-7780,0.0,104832.0,2855287.25,NEFT
2026-03-23,RTGS-txn_RzX_99072-INV-MD-55072,UTR-ICICI-7782,0.0,195585.1,3050872.35,RTGS
2026-03-25,RTGS-txn_RzX_99074-INV-MD-55074,UTR-ICICI-7784,0.0,58675.4,3109547.75,NEFT
2026-03-02,RTGS-txn_RzX_99076-INV-MD-55076,UTR-ICICI-7786,0.0,28762.8,3138310.55,NEFT
2026-03-04,RTGS-txn_RzX_99078-INV-MD-55078,UTR-ICICI-7788,0.0,19656.0,3157966.55,NEFT
2026-03-06,RTGS-txn_RzX_99080-INV-MD-55080,UTR-ICICI-7790,0.0,52416.0,3210382.55,NEFT
2026-03-08,RTGS-txn_RzX_99082-INV-MD-55082,UTR-ICICI-7792,0.0,195585.1,3405967.65,RTGS
2026-03-10,RTGS-txn_RzX_99084-INV-MD-55084,UTR-ICICI-7794,0.0,68454.65,3474422.3,NEFT
2026-03-12,RTGS-txn_RzX_99086-INV-MD-55086,UTR-ICICI-7796,0.0,86287.8,3560710.1,NEFT
2026-03-14,RTGS-txn_RzX_99088-INV-MD-55088,UTR-ICICI-7798,0.0,13267.8,3573977.9,NEFT
2026-03-16,RTGS-txn_RzX_99090-INV-MD-55090,UTR-ICICI-7800,0.0,52366.0,3626343.9,NEFT
2026-03-18,RTGS-txn_RzX_99092-INV-MD-55092,UTR-ICICI-7802,0.0,195585.1,3821929.0,RTGS
2026-03-20,RTGS-txn_RzX_99094-INV-MD-55094,UTR-ICICI-7804,0.0,39116.9,3861045.9,NEFT
2026-03-22,RTGS-txn_RzX_99096-REF-MISSING,UTR-ICICI-7806,0.0,86287.8,3947333.7,NEFT
2026-03-24,RTGS-txn_RzX_99098-REF-MISSING,UTR-ICICI-7808,0.0,22604.4,3969938.1,NEFT
2026-03-26,RTGS-txn_RzX_99100-REF-MISSING,UTR-ICICI-7810,0.0,157248.0,4127186.1,NEFT
