invoice_no,ref_po_id,taxable_value,cgst_amt,sgst_amt,round_off,invoice_total,due_date,hsn_code
INV-MD-55001,PO-2026-8001,135000.0,12150.0,12150.0,0.0,159300.0,2026-03-31,8471
INV-MD-55002,PO-2026-8002,85000.0,7650.0,7650.0,0.1,100300.1,2026-04-01,8471
INV-MD-55003,PO-2026-8003,36000.0,3240.0,3240.0,0.2,42480.2,2026-04-02,8517
INV-MD-55004,PO-2026-8004,60000.0,5400.0,5400.0,-0.1,70799.9,2026-04-03,8471
INV-MD-55005,PO-2026-8005,70500.0,6345.0,6345.0,-0.2,83189.8,2026-04-04,9403
INV-MD-55006,PO-2026-8006,50500.0,4545.0,4545.0,0.3,59590.3,2026-04-05,9403
INV-MD-55007,PO-2026-8007,36000.0,3240.0,3240.0,-0.3,42479.7,2026-04-06,9403
INV-MD-55008,PO-2026-8008,19350.0,1161.0,1161.0,0.0,21672.0,2026-04-07,4820
INV-MD-55009,PO-2026-8009,8050.0,483.0,483.0,0.0,9016.0,2026-04-08,4820
INV-MD-55010,PO-2026-8010,42000.0,5880.0,5880.0,0.0,53760.0,2026-04-09,8415
INV-MD-55011,PO-2026-8011,135000.0,12150.0,12150.0,0.0,159300.0,2026-04-10,8471
INV-MD-55012,PO-2026-8012,170000.0,15300.0,15300.0,0.1,200600.1,2026-04-11,8471
INV-MD-55013,PO-2026-8013,36000.0,3240.0,3240.0,0.2,42480.2,2026-04-12,8517
INV-MD-55014,PO-2026-8014,25500.0,2295.0,2295.0,-0.1,30089.9,2026-04-13,8471
INV-MD-55015,PO-2026-8015,35000.0,3150.0,3150.0,-0.2,41299.8,2026-04-14,9403
INV-MD-55016,PO-2026-8016,50000.0,4500.0,4500.0,0.3,59000.3,2026-04-15,9403
INV-MD-55017,PO-2026-8017,36000.0,3240.0,3240.0,-0.3,42479.7,2026-04-16,9403
INV-MD-55018,PO-2026-8018,16200.0,972.0,972.0,0.0,18144.0,2026-04-17,4820
INV-MD-55019,PO-2026-8019,13650.0,819.0,819.0,0.0,15288.0,2026-04-18,4820
INV-MD-55020,PO-2026-8020,42000.0,5880.0,5880.0,0.0,53760.0,2026-04-19,8415
INV-MD-55021,PO-2026-8021,135000.0,12150.0,12150.0,0.0,159300.0,2026-04-20,8471
INV-MD-55022,PO-2026-8022,85000.0,7650.0,7650.0,0.1,100300.1,2026-04-21,8471
INV-MD-55023,PO-2026-8023,126000.0,11340.0,11340.0,0.2,148680.2,2026-04-22,8517
INV-MD-55024,PO-2026-8024,76500.0,6885.0,6885.0,-0.1,90269.9,2026-04-23,8471
INV-MD-55025,PO-2026-8025,70000.0,6300.0,6300.0,-0.2,82599.8,2026-04-24,9403
INV-MD-55026,PO-2026-8026,100000.0,9000.0,9000.0,0.3,118000.3,2026-03-31,9403
INV-MD-55027,PO-2026-8027,72000.0,6480.0,6480.0,-0.3,84959.7,2026-04-01,9403
INV-MD-55028,PO-2026-8028,12600.0,756.0,756.0,0.0,14112.0,2026-04-02,4820
INV-MD-55029,PO-2026-8029,15750.0,945.0,945.0,0.0,17640.0,2026-04-03,4820
