rzp_txn_id,linked_invoice,financing_type,principal_amt,platform_fee_pct,platform_fee_amt,tds_deducted,net_payout_supplier,settlement_utr,payout_bank,status,created_at
txn_RzX_99001,INV-MD-55001,INSTANT_PAY,159300.0,0.015,2389.5,1593.0,155317.5,UTR-HDFC-8821,HDFC,SETTLED,2026-03-02 11:07:00
txn_RzX_99002,INV-MD-55002,INSTANT_PAY,100300.1,0.015,1504.5,1003.0,97792.6,UTR-ICICI-7712,ICICI,SETTLED,2026-03-03 12:14:00
txn_RzX_99003,INV-MD-55003,CREDIT_LINE,42480.2,0.015,637.2,424.8,41418.2,UTR-HDFC-8823,HDFC,SETTLED,2026-03-04 13:21:00
txn_RzX_99004,INV-MD-55004,INSTANT_PAY,70799.9,0.015,1062.0,708.0,69029.9,UTR-ICICI-7714,ICICI,SETTLED,2026-03-05 14:28:00
txn_RzX_99005,INV-MD-55005,INSTANT_PAY,83189.8,0.015,1247.85,831.9,81110.05,UTR-HDFC-8825,HDFC,SETTLED,2026-03-06 15:35:00
txn_RzX_99006,INV-MD-55006,CREDIT_LINE,59590.3,0.015,893.85,595.9,58100.55,UTR-ICICI-7716,ICICI,SETTLED,2026-03-07 16:42:00
txn_RzX_99007,INV-MD-55007,INSTANT_PAY,42479.7,0.015,637.2,424.8,41417.7,UTR-HDFC-8827,HDFC,SETTLED,2026-03-08 17:49:00
txn_RzX_99008,INV-MD-55008,INSTANT_PAY,21672.0,0.015,325.08,216.72,21130.2,UTR-ICICI-7718,ICICI,SETTLED,2026-03-09 10:56:00
txn_RzX_99009,INV-MD-55009,CREDIT_LINE,9016.0,0.015,135.24,90.16,8790.6,UTR-HDFC-8829,HDFC,SETTLED,2026-03-10 11:03:00
txn_RzX_99010,INV-MD-55010,INSTANT_PAY,53760.0,0.015,806.4,537.6,52416.0,UTR-ICICI-7720,ICICI,SETTLED,2026-03-11 12:10:00
txn_RzX_99011,INV-MD-55011,INSTANT_PAY,159300.0,0.015,2389.5,1593.0,155317.5,UTR-HDFC-8831,HDFC,FAILED,2026-03-12 13:17:00
txn_RzX_99012,INV-MD-55012,CREDIT_LINE,200600.1,0.015,3009.0,2006.0,195585.1,UTR-ICICI-7722,ICICI,FAILED,2026-03-13 14:24:00
txn_RzX_99013,INV-MD-55013,INSTANT_PAY,42480.2,0.015,637.2,424.8,41418.2,UTR-HDFC-8833,HDFC,FAILED,2026-03-14 15:31:00
txn_RzX_99014,INV-MD-55014,INSTANT_PAY,30089.9,0.015,451.35,300.9,29337.65,UTR-ICICI-7724,ICICI,FAILED,2026-03-15 16:38:00
