order_id,buyer_name,goods_category,goods_tax_rate,gross_amount,order_status,payment_method,ordered_at
FLP_2001,Buyer_201,Apparel & Fashion,0.12,13071.91,DELIVERED,UPI,2026-03-02
FLP_2002,Buyer_202,Books & Publications,0.0,539.26,DELIVERED,Debit Card,2026-03-03
FLP_2003,Buyer_203,Home & Kitchen,0.18,13085.17,DELIVERED,Credit Card,2026-03-04
FLP_2004,Buyer_204,Electronics,0.18,918.02,DELIVERED,NetBanking,2026-03-05
FLP_2005,Buyer_205,Apparel & Fashion,0.12,941.19,DELIVERED,Debit Card,2026-03-06
FLP_2006,Buyer_206,Books & Publications,0.0,3023.98,DELIVERED,UPI,2026-03-07
FLP_2007,Buyer_207,Home & Kitchen,0.18,3079.8,DELIVERED,UPI,2026-03-08
FLP_2008,Buyer_208,Electronics,0.18,564.21,DELIVERED,UPI,2026-03-09
FLP_2009,Buyer_209,Apparel & Fashion,0.12,591.64,DELIVERED,Credit Card,2026-03-10
FLP_2010,Buyer_210,Books & Publications,0.0,939.64,DELIVERED,NetBanking,2026-03-11
FLP_2011,Buyer_211,Home & Kitchen,0.18,985.47,DELIVERED,UPI,2026-03-12
FLP_2012,Buyer_212,Electronics,0.18,936.9,DELIVERED,NetBanking,2026-03-13
FLP_2013,Buyer_213,Apparel & Fashion,0.12,1591.65,DELIVERED,NetBanking,2026-03-14
FLP_2014,Buyer_214,Books & Publications,0.0,1541.3,DELIVERED,NetBanking,2026-03-15
FLP_2015,Buyer_215,Home & Kitchen,0.18,917.99,CANCELLED,Credit Card,2026-03-16
FLP_2016,Buyer_216,Electronics,0.18,556.92,DELIVERED,UPI,2026-03-17
FLP_2017,Buyer_217,Apparel & Fashion,0.12,8530.36,DELIVERED,UPI,2026-03-18
FLP_2018,Buyer_218,Books & Publications,0.0,5046.68,DELIVERED,Credit Card,2026-03-19
FLP_2019,Buyer_219,Home & Kitchen,0.18,595.08,DELIVERED,UPI,2026-03-20
FLP_2020,Buyer_220,Electronics,0.18,13017.58,RETURNED,UPI,2026-03-21
FLP_2021,Buyer_221,Apparel & Fashion,0.12,8585.18,DELIVERED,NetBanking,2026-03-22
FLP_2022,Buyer_222,Books & Publications,0.0,593.16,DELIVERED,Credit Card,2026-03-23
FLP_2023,Buyer_223,Home & Kitchen,0.18,5058.45,DELIVERED,UPI,2026-03-24
FLP_2024,Buyer_224,Electronics,0.18,3064.74,DELIVERED,Debit Card,2026-03-25
FLP_2025,Buyer_225,Apparel & Fashion,0.12,1519.43,DELIVERED,Debit Card,2026-03-01
FLP_2026,Buyer_226,Books & Publications,0.0,925.56,DELIVERED,Credit Card,2026-03-02
FLP_2027,Buyer_227,Home & Kitchen,0.18,8563.55,DELIVERED,NetBanking,2026-03-03
FLP_2028,Buyer_228,Electronics,0.18,1591.9,DELIVERED,UPI,2026-03-04
FLP_2029,Buyer_229,Apparel & Fashion,0.12,544.83,DELIVERED,UPI,2026-03-05
FLP_2030,Buyer_230,Books & Publications,0.0,552.76,DELIVERED,Debit Card,2026-03-06
FLP_2031,Buyer_231,Home & Kitchen,0.18,992.33,DELIVERED,UPI,2026-03-07
FLP_2032,Buyer_232,Electronics,0.18,935.95,DELIVERED,Credit Card,2026-03-08
FLP_2033,Buyer_233,Apparel & Fashion,0.12,3082.37,DELIVERED,Debit Card,2026-03-09
FLP_2034,Buyer_234,Books & Publications,0.0,5097.39,DELIVERED,UPI,2026-03-10
FLP_2035,Buyer_235,Home & Kitchen,0.18,8580.71,DELIVERED,Debit Card,2026-03-11
FLP_2036,Buyer_236,Electronics,0.18,8509.36,DELIVERED,Credit Card,2026-03-12
FLP_2037,Buyer_237,Apparel & Fashion,0.12,1510.54,DELIVERED,UPI,2026-03-13
FLP_2038,Buyer_238,Books & Publications,0.0,8554.32,DELIVERED,Debit Card,2026-03-14
FLP_2039,Buyer_239,Home & Kitchen,0.18,1559.48,DELIVERED,Debit Card,2026-03-15
FLP_2040,Buyer_240,Electronics,0.18,967.75,DELIVERED,Debit Card,2026-03-16
FLP_2041,Buyer_241,Apparel & Fashion,0.12,5047.85,DELIVERED,UPI,2026-03-17
FLP_2042,Buyer_242,Books & Publications,0.0,562.43,DELIVERED,Debit Card,2026-03-18
FLP_2043,Buyer_243,Home & Kitchen,0.18,499.35,DELIVERED,Credit Card,2026-03-19
FLP_2044,Buyer_244,Electronics,0.18,8596.98,DELIVERED,Credit Card,2026-03-20
FLP_2045,Buyer_245,Apparel & Fashion,0.12,8543.18,DELIVERED,NetBanking,2026-03-21
FLP_2046,Buyer_246,Books & Publications,0.0,4999.97,DELIVERED,UPI,2026-03-22
FLP_2047,Buyer_247,Home & Kitchen,0.18,8589.39,DELIVERED,UPI,2026-03-23
FLP_2048,Buyer_248,Electronics,0.18,13035.92,DELIVERED,Credit Card,2026-03-24
FLP_2049,Buyer_249,Apparel & Fashion,0.12,3011.74,DELIVERED,Debit Card,2026-03-25
FLP_2050,Buyer_250,Books & Publications,0.0,1588.9,DELIVERED,UPI,2026-03-01
FLP_2051,Buyer_251,Home & Kitchen,0.18,1520.01,DELIVERED,Credit Card,2026-03-02
FLP_2052,Buyer_252,Electronics,0.18,8509.28,DELIVERED,NetBanking,2026-03-03
FLP_2053,Buyer_253,Apparel & Fashion,0.12,5073.95,DELIVERED,Credit Card,2026-03-04
FLP_2054,Buyer_254,Books & Publications,0.0,13015.25,DELIVERED,Credit Card,2026-03-05
FLP_2055,Buyer_255,Home & Kitchen,0.18,3001.48,DELIVERED,Debit Card,2026-03-06
FLP_2056,Buyer_256,Electronics,0.18,13092.08,DELIVERED,Credit Card,2026-03-07
FLP_2057,Buyer_257,Apparel & Fashion,0.12,1514.92,DELIVERED,UPI,2026-03-08
FLP_2058,Buyer_258,Books & Publications,0.0,3086.22,DELIVERED,NetBanking,2026-03-09
FLP_2059,Buyer_259,Home & Kitchen,0.18,918.96,DELIVERED,NetBanking,2026-03-10
FLP_2060,Buyer_260,Electronics,0.18,1529.52,DELIVERED,Credit Card,2026-03-11
