transaction_id,source_platform,order_id,payment_method,gross_amount,routing_bank,merchant_fee_collected,bank_gateway_charge,razorpay_net_profit,settlement_status,created_at
RZR_TXN_3001,Zomato,ZOM_1001,Debit Card,421.25,ICICI,4.97,2.49,2.48,SETTLED,2026-03-02
RZR_TXN_3002,Zomato,ZOM_1002,UPI,761.16,HDFC,1.79,0.72,1.07,SETTLED,2026-03-03
RZR_TXN_3003,Zomato,ZOM_1003,UPI,449.52,ICICI,1.06,0.26,0.8,SETTLED,2026-03-04
RZR_TXN_3004,Zomato,ZOM_1004,Credit Card,254.68,HDFC,6.01,4.21,1.8,SETTLED,2026-03-05
RZR_TXN_3005,Zomato,ZOM_1005,NetBanking,278.06,ICICI,4.92,2.62,2.3,SETTLED,2026-03-06
RZR_TXN_3006,Zomato,ZOM_1006,Debit Card,772.46,HDFC,9.11,6.38,2.73,SETTLED,2026-03-07
RZR_TXN_3007,Zomato,ZOM_1007,Credit Card,287.94,ICICI,6.8,4.08,2.72,SETTLED,2026-03-08
RZR_TXN_3008,Zomato,ZOM_1008,Credit Card,1397.01,HDFC,32.97,23.08,9.89,SETTLED,2026-03-09
RZR_TXN_3009,Zomato,ZOM_1009,Debit Card,797.86,ICICI,9.42,4.71,4.71,SETTLED,2026-03-10
RZR_TXN_3010,Zomato,ZOM_1010,UPI,424.64,HDFC,1.0,0.4,0.6,SETTLED,2026-03-11
RZR_TXN_3011,Zomato,ZOM_1011,Debit Card,1192.37,ICICI,14.07,7.03,7.04,SETTLED,2026-03-12
RZR_TXN_3012,Zomato,ZOM_1012,UPI,286.49,HDFC,0.67,0.27,0.4,SETTLED,2026-03-13
RZR_TXN_3013,Zomato,ZOM_1013,Debit Card,1383.94,ICICI,16.33,8.17,8.16,SETTLED,2026-03-14
RZR_TXN_3014,Zomato,ZOM_1014,UPI,1178.87,HDFC,2.78,1.11,1.67,SETTLED,2026-03-15
RZR_TXN_3015,Zomato,ZOM_1015,Debit Card,283.06,ICICI,3.34,1.68,1.66,SETTLED,2026-03-16
RZR_TXN_3016,Zomato,ZOM_1016,UPI,462.77,HDFC,1.1,0.44,0.66,SETTLED,2026-03-17
RZR_TXN_3017,Zomato,ZOM_1017,Debit Card,1393.9,ICICI,16.45,8.22,8.23,SETTLED,2026-03-18
RZR_TXN_3018,Zomato,ZOM_1018,Credit Card,598.51,HDFC,14.12,9.89,4.23,SETTLED,2026-03-19
RZR_TXN_3019,Zomato,ZOM_1019,UPI,955.09,ICICI,2.25,0.57,1.68,SETTLED,2026-03-20
RZR_TXN_3020,Zomato,ZOM_1020,Credit Card,606.71,HDFC,14.31,10.02,4.29,SETTLED,2026-03-21
RZR_TXN_3021,Zomato,ZOM_1021,Debit Card,603.11,ICICI,7.12,3.56,3.56,SETTLED,2026-03-22
RZR_TXN_3022,Zomato,ZOM_1022,UPI,784.23,HDFC,1.85,0.74,1.11,SETTLED,2026-03-23
