order_id,amount,date
ORD_1001,1000.00,2026-03-01
ORD_1002,1500.00,2026-03-01
ORD_1003,2000.00,2026-03-01
ORD_1004,2500.00,2026-03-01
ORD_1005,3000.00,2026-03-01
ORD_1006,3500.00,2026-03-01
ORD_1007,4000.00,2026-03-01
ORD_1008,4500.00,2026-03-01
ORD_1009,5000.00,2026-03-01
ORD_1010,5500.00,2026-03-01
ORD_1011,6000.00,2026-03-02
ORD_1012,6500.00,2026-03-02
ORD_1013,7000.00,2026-03-02
ORD_1014,7500.00,2026-03-02
ORD_1015,8000.00,2026-03-02
ORD_1016,8500.00,2026-03-02
ORD_1017,9000.00,2026-03-02
ORD_1018,9500.00,2026-03-02
ORD_1019,10000.00,2026-03-02
ORD_1020,12000.00,2026-03-02
ORD_1021,1000.00,2026-03-01
ORD_1022,1250.00,2026-03-01
ORD_1023,1400.00,2026-03-02
ORD_1024,1800.00,2026-03-02
ORD_1025,2100.00,2026-03-03
ORD_1026,2300.00,2026-03-03
ORD_1027,2600.00,2026-03-04
ORD_1028,2900.00,2026-03-04
ORD_1029,3100.00,2026-03-05
ORD_1030,3400.00,2026-03-05
ORD_1031,3700.00,2026-03-06
ORD_1032,4100.00,2026-03-06
ORD_1033,4400.00,2026-03-07
ORD_1034,4800.00,2026-03-07
ORD_1035,5200.00,2026-03-08
TXN-ORD-1036,1100.00,2026-03-10
RZP_1037,1300.00,2026-03-10
ORD_1038_A,1600.00,2026-03-10
INV/2026/1039,1900.00,2026-03-11
BILL_1040,2200.00,2026-03-11
ORD1041,2500.00,2026-03-12
TX_1042,2800.00,2026-03-12
PAY_1043,3100.00,2026-03-13
ORD_1044,3500.00,2026-03-13
REF_1045,3900.00,2026-03-14
ORD_1046,1000.00,2026-03-15
ORD_1047,2000.00,2026-03-15
ORD_1048,1500.00,2026-03-15
ORD_1049,2500.00,2026-03-15
ORD_1050,3000.00,2026-03-15
ORD_1051,4000.00,2026-03-16
ORD_1052,6000.00,2026-03-16
ORD_1053,500.00,2026-03-16
ORD_1054,500.00,2026-03-16
ORD_1055,1000.00,2026-03-16
